"Player","Pos","School","Ht","Wt","X40yd","Vertical","Bench","Broad.Jump","X3Cone","Shuttle"
"Eric Green","CB","Virginia Tech","5-11",198,4.52,38,NA,120,NA,3.9
"Justin Green","FB","Montana","5-11",251,4.84,31,23,109,7.24,4.21
"David Greene","QB","Georgia","6-3",226,4.78,31.5,NA,115,7,4.1
"Kelly Griffeth","TE","Fort Hays State","6-5",284,4.9,28,21,103,7.25,4.27
"Boomer Grigsby","ILB","Illinois State","6-0",249,4.6,35.5,32,112,7.1,NA
"Matt Grootegoed","S","USC","5-11",218,4.76,31.5,22,111,7.17,4.26
"Gino Guidugli","QB","Cincinnati","6-4",229,5,29,NA,103,7.41,4.52
"Tyjuan Hagler","OLB","Cincinnati","6-0",236,4.59,35.5,35,124,7.21,4.07
"Josh Haldi","QB","Northern Illinois","6-2",215,4.64,33,NA,113,6.89,4.07
"Geoff Hangartner","C","Texas A&M","6-5",301,5.21,28.5,26,103,7.62,4.52
"Jason Harmon","S","Michigan State","5-11",209,4.7,37,23,118,7.61,4.1
"Reggie Harrell","WR","TCU","6-3",214,4.58,35,NA,115,7.42,4.11
"Kay-Jay Harris","RB","West Virginia","6-0",241,4.56,38,NA,122,7.2,4.1
"Marques Harris","OLB","Southern Utah","6-1",231,4.71,40.5,22,117,7.19,4.07
"Anttaj Hawthorne","DT","Wisconsin","6-3",321,5.23,27,21,100,8,4.69
"Kelvin Hayden","CB","Illinois","5-10",197,4.45,34,17,111,6.87,3.9
"Jovan Haye","DE","Vanderbilt","6-2",284,4.74,34,33,110,7.38,4.35
"Alex Haynes","RB","Central Florida","5-10",223,4.51,32.5,21,NA,NA,NA
"Madison Hedgecock","FB","North Carolina","6-3",266,4.87,32.5,29,108,7.41,4.24
"Chris Henry","WR","West Virginia","6-4",197,4.5,NA,NA,NA,NA,NA
"Noah Herron","RB","Northwestern","5-11",224,4.6,31,17,108,6.95,3.97
"Efrem Hill","WR","Samford","6-0",179,4.58,37.5,NA,124,7.42,4.07
"Leroy Hill","ILB","Clemson","6-1",229,4.65,34,25,116,7.23,4.1
"Ellis Hobbs","CB","Iowa State","5-9",192,4.45,42,12,124,6.8,4.07
"Drew Hodgdon","C","Arizona State","6-3",309,5.31,32.5,NA,109,7.49,4.45
"Alphonso Hodge","CB","Miami (OH)","5-11",203,4.44,34,20,NA,NA,3.99
"Reggie Hodges","P","Ball State","6-0",226,4.88,NA,NA,NA,NA,NA
"Terry Holley","S","Rice","6-1",211,4.64,37,24,115,NA,NA
"Daven Holly","CB","Cincinnati","5-10",192,4.39,39,15,115,7.16,4.08
"Alex Holmes","TE","USC","6-2",265,5.04,NA,18,NA,NA,NA
"Cedric Houston","RB","Tennessee","5-11",225,4.61,NA,NA,NA,NA,NA
"Ray Hudson","RB","Alabama","5-10",192,4.5,NA,15,NA,NA,NA
"Rob Hunt","C","North Dakota State","6-4",301,4.96,34.5,31,108,7.53,4.48
"Kevin Huntley","DE","Kansas State","6-7",267,4.88,NA,NA,NA,NA,NA
"Richie Incognito","C","Nebraska","6-3",305,4.84,NA,29,NA,NA,NA
"Marlin Jackson","CB","Michigan","6-1",198,4.52,36,23,125,6.95,3.96
"Vincent Jackson","WR","Northern Colorado","6-5",241,4.46,39,NA,NA,NA,NA
"Tony Jackson","TE","Iowa","6-2",266,4.75,33,23,113,7.5,4.48
"Brandon Jacobs","RB","Southern Illinois","6-4",267,4.56,37,19,118,7.53,4.46
"Erasmus James","DE","Wisconsin","6-4",266,4.81,37.5,NA,122,7.56,4.37
"Jason Jefferson","DT","Wisconsin","6-2",310,5.1,28.5,NA,102,7.79,4.47
"Chase Johnson","OT","TCU","6-8",330,5.41,27,NA,91,8.15,4.7
"Derrick Johnson","CB","Texas","5-11",197,4.43,NA,18,NA,7.15,4.1
"Derrick Johnson","OLB","Texas","6-3",242,4.52,37.5,NA,120,7.2,3.87
"Marcus Johnson","OG","Mississippi","6-6",321,5.45,27.5,21,104,7.71,4.71
"Travis Johnson","DT","Florida State","6-4",305,4.91,NA,NA,NA,NA,NA
"Tyler Jones","K","Boise State","6-1",201,5.05,NA,NA,NA,NA,NA
"Brandon Jones","WR","Oklahoma","6-1",210,4.42,37,NA,114,7.03,4.08
"Matt Jones","TE","Arkansas","6-6",242,4.37,39.5,NA,129,NA,NA
"Adam Jones","CB","West Virginia","5-9",187,4.38,NA,NA,NA,NA,NA
"Keith Joseph","FB","Texas A&M","6-2",254,4.68,33,27,113,7.43,4.2
"Nick Kaczur","OT","Toledo","6-4",319,5.28,31.5,NA,NA,NA,NA
"Dave Kashetta","TE","Boston Col.","6-3",247,4.87,35.5,17,113,7.34,4.34
"Chris Kemoeatu","OG","Utah","6-3",344,5.34,29,26,98,7.75,4.54
"Adam Kieft","OT","Central Michigan","6-7",337,5.52,33,28,110,7.78,4.76
"Tyler King","DE","Connecticut","6-5",271,4.87,36,20,118,7.57,4.34
"Eric King","CB","Wake Forest","5-8",189,4.43,NA,12,NA,NA,NA
"Marcus Lawrence","ILB","South Carolina","6-2",243,4.62,34,19,121,7.16,4.32
"Stefan LeFors","QB","Louisville","6-0",208,4.56,31,NA,111,7.03,4.09
"Jim Leonhard","S","Wisconsin","5-8",191,4.63,NA,19,NA,NA,NA
"Samuel Lightbody","OT","Michigan State","6-9",321,5.62,30,NA,108,7.95,4.41
"Dustin Long","QB","SMU","6-2",208,4.67,30.5,NA,108,6.77,4.08
"Khari Long","DE","Baylor","6-4",257,4.74,38.5,27,121,7.22,4.07
"Daniel Loper","OT","Texas Tech","6-6",306,5.3,32,14,101,7.74,4.68
"Chase Lyman","WR","California","6-3",217,4.5,NA,NA,NA,NA,NA
"Andre Maddox","S","Boise State","6-1",205,4.46,36.5,17,127,7.33,NA
"Tony Madison","WR","Kansas State","6-1",213,4.52,39,NA,121,7.13,4.3
"Logan Mankins","OG","Fresno State","6-4",307,5.06,31.5,21,95,7.52,4.44
"Tommy Manus","WR","South Florida","6-4",222,4.55,38,NA,120,7.2,4.34
"Rasheed Marshall","WR","West Virginia","6-0",185,4.51,38,NA,121,6.81,3.95
"Evan Mathis","OG","Alabama","6-5",304,4.92,35.5,35,117,7.37,4.16
"Jerome Mathis","WR","Kansas State","5-11",181,4.28,35.5,NA,123,NA,NA
"Will Matthews","FB","Texas","6-1",248,4.98,NA,NA,NA,NA,NA
"Leron McCoy","WR","Indiana (PA)","6-1",211,4.4,37,NA,120,7.19,4.21
"Robert McCune","ILB","Louisville","6-0",245,4.5,NA,34,NA,NA,NA
"Bryant McFadden","CB","Florida State","6-0",193,4.44,38.5,23,130,NA,4.04
"Lynn McGruder","DT","Oklahoma","6-1",307,5.01,35.5,28,112,7.71,4.42
"Chris McKenzie","CB","Arizona State","5-8",185,4.32,45,6,136,6.9,4.32
"T.A. McLendon","RB","North Carolina State","5-10",235,4.71,35,27,117,7.34,4.19
"Pete McMahon","OT","Iowa","6-8",329,5.43,27,26,92,7.97,4.8
"David McMillan","DE","Kansas","6-3",262,4.58,34,16,120,7.11,4.07
"Willie McNeill","OT","North Carolina","6-4",291,5.3,NA,NA,NA,NA,NA
"Adrian McPherson","QB","Florida State","6-3",218,4.71,34.5,22,128,6.93,4.08
"Albert Means","DT","Memphis","6-4",318,5.4,27,26,96,8.21,4.87
"Shawne Merriman","DE","Maryland","6-4",272,4.64,NA,25,NA,NA,NA
"Heath Miller","TE","Virginia","6-5",256,4.79,NA,NA,NA,NA,NA
"Lance Mitchell","ILB","Oklahoma","6-2",247,4.85,33.5,15,NA,7.49,4.38
"Ryan Moats","RB","Louisiana Tech","5-8",210,4.46,36,19,117,7.22,4.1
"Mike Montgomery","DE","Texas A&M","6-5",276,5.05,34.5,19,115,7.38,4.32
"Eric Moore","DE","Florida State","6-4",262,4.84,29.5,22,108,7.62,4.5
"Lance Moore","WR","Toledo","5-9",177,4.52,NA,NA,NA,NA,NA
"Vernand Morency","RB","Oklahoma State","5-10",212,4.66,33.5,19,108,7.02,4.12
"Kirk Morrison","ILB","San Diego State","6-1",235,4.75,NA,25,NA,NA,4.31
"C.J. Mosley","DT","Missouri","6-2",314,5.08,27.5,27,100,8.21,4.64
"Scott Mruczkowski","C","Bowling Green","6-4",321,5.29,NA,28,NA,NA,NA
"Michael Munoz","OT","Tennessee","6-5",306,5.3,NA,NA,NA,NA,NA
"Terrence Murphy","WR","Texas A&M","6-1",202,4.39,NA,NA,NA,NA,NA
"Chris Myers","OG","Miami (FL)","6-5",300,5.11,NA,25,NA,NA,NA
"Jared Newberry","OLB","Stanford","6-1",234,4.71,NA,NA,NA,NA,NA
"Donte Nicholson","S","Oklahoma","6-1",212,4.56,NA,18,NA,NA,NA
"Doug Nienhuis","OG","Oregon State","6-6",307,5.15,29.5,22,99,7.5,4.47
"Nick Novak","K","Maryland","5-11",191,5.1,NA,NA,NA,NA,NA
"Mike Nugent","K","Ohio State","5-10",182,4.72,NA,NA,NA,NA,NA
"Craig Ochs","QB","Montana","6-2",218,4.87,28.5,NA,104,7.03,4.13
"Frank Omiyale","OT","Tennessee Tech","6-4",310,5.3,29.5,22,101,8.19,4.72
"Dan Orlovsky","QB","Connecticut","6-5",225,4.93,29.5,NA,107,7.33,4.39
"Kyle Orton","QB","Purdue","6-4",233,5.06,26.5,NA,NA,7.38,4.52
"Chad Owens","WR","Hawaii","5-7",183,4.62,37,NA,116,6.7,3.94
"Jeremy Parquet","OT","Southern Miss","6-7",323,5.31,29.5,17,94,7.95,4.8
"Roscoe Parrish","WR","Miami (FL)","5-10",168,4.37,NA,NA,NA,NA,NA
"Martin Patterson","ILB","TCU","6-1",243,4.89,34,21,115,7.31,4.2
"Mike Patterson","DT","USC","6-0",292,4.93,NA,26,NA,NA,NA
"Karl Paymah","CB","Washington State","6-0",204,4.35,41.5,15,125,7.09,3.91
"Matt Payne","K","BYU","6-4",229,4.75,NA,NA,NA,NA,NA
"Alvin Pearman","RB","Virginia","5-9",208,4.63,34,24,114,7.06,4.08
"Erik Pears","OT","Colorado State","6-8",312,5.12,NA,NA,NA,NA,NA
"Antonio Perkins","CB","Oklahoma","5-11",190,4.49,40,10,126,7.17,4.07
"Tab Perry","WR","UCLA","6-2",229,4.46,34,NA,116,7,NA
"Rob Petitti","OT","Pittsburgh","6-6",347,5.48,NA,NA,NA,NA,NA
"Kenneth Pettway","OLB","Grambling State","6-3",236,4.69,32.5,22,114,7.29,4.31
"David Pollack","DE","Georgia","6-2",265,4.75,37,25,120,6.86,3.9
"Jonathan Pollard","OLB","Oregon State","6-1",247,4.68,35,21,116,7.41,4.07
"Brodney Pool","S","Oklahoma","6-1",207,4.52,NA,NA,NA,NA,NA
"Brady Poppinga","DE","BYU","6-3",259,4.59,35.5,26,110,7.27,4.38
"Sione Pouha","DT","Utah","6-3",325,5.02,32.5,32,107,7.83,4.44
"Duke Preston","C","Illinois","6-5",311,NA,32,21,96,7.57,4.45
"Bobby Purify","RB","Colorado","6-0",210,4.67,33.5,15,116,7.22,4.13
"Bryan Randall","QB","Virginia Tech","6-0",225,4.71,33,NA,113,6.97,4.08
"Dave Rayner","K","Michigan State","6-2",210,5,NA,NA,NA,NA,NA
"Jamaica Rector","WR","Northwest Missouri State","5-10",186,4.47,36.5,NA,122,6.78,4.13
"Lamont Reid","CB","North Carolina State","5-11",195,4.53,40.5,15,124,7.18,4.28
"Walter Reyes","RB","Syracuse","5-10",209,4.52,32,16,109,7.23,4.38
"Joe Rheem","K","Kansas State","6-0",217,NA,NA,NA,NA,NA,NA
"Kerry Rhodes","S","Louisville","6-2",209,4.56,42,12,123,6.94,4.12
"Ryan Riddle","DE","California","6-2",256,4.83,NA,18,NA,NA,NA
"Dante' Ridgeway","WR","Ball State","5-11",212,4.57,33,NA,117,7.25,4.39
"Chris Rix","QB","Florida State","6-2",214,4.7,33.5,NA,116,7.53,4.53
"Leon Robinson","OG","Georgia Tech","6-4",314,5.22,36,22,109,8.27,4.76
"Derreck Robinson","DT","Iowa","6-4",289,NA,34.5,27,114,7.97,4.53
"Courtney Roby","WR","Indiana","6-0",189,4.41,36.5,NA,126,6.6,3.94
"Aaron Rodgers","QB","California","6-2",223,4.71,34.5,NA,110,7.38,NA
"Carlos Rogers","CB","Auburn","6-0",196,4.44,40.5,15,126,6.48,3.82
"Antrel Rolle","CB","Miami (FL)","6-0",201,4.48,NA,15,NA,NA,NA
"Michael Roos","OT","East. Washington","6-7",320,5.3,29,19,97,7.72,4.5
"Matt Roth","DE","Iowa","6-4",278,4.81,32,26,112,7.65,4.36
"Stanford Routt","CB","Houston","6-1",193,4.27,36.5,NA,129,6.63,3.9
"J.R. Russell","WR","Louisville","6-3",206,4.56,34.5,NA,NA,NA,NA
"Barrett Ruud","ILB","Nebraska","6-2",241,4.75,34.5,25,112,7.22,3.94
"Steve Savoy","WR","Utah","5-11",192,4.62,NA,NA,NA,NA,NA
"Bo Scaife","TE","Texas","6-3",249,4.75,32.5,24,114,7.21,4.12
"Gerald Sensabaugh","S","North Carolina","6-0",214,4.44,46,17,133,NA,NA
"Adam Seward","ILB","UNLV","6-2",248,4.6,36.5,33,120,7.16,4.11
"Ernest Shazor","S","Michigan","6-4",228,4.65,NA,NA,NA,NA,NA
"Dan Sheldon","WR","Northern Illinois","5-9",179,4.43,NA,NA,NA,NA,NA
"Eric Shelton","RB","Louisville","6-1",246,4.53,38.5,NA,124,7.44,4.08
"Darrell Shropshire","DT","South Carolina","6-2",301,4.87,34,25,116,7.54,4.31
"Wes Sims","OT","Oklahoma","6-5",318,5.39,28,26,108,7.68,4.43
"Alex Smith","TE","Stanford","6-4",258,4.88,NA,28,NA,NA,NA
"Alex Smith","QB","Utah","6-4",217,4.71,32,NA,113,6.82,3.96
"Adam Snyder","OG","Oregon","6-5",316,5.34,28.5,21,93,7.83,4.83
"Marcus Spears","DE","LSU","6-4",307,5.05,NA,NA,NA,NA,NA
"Chris Spencer","C","Mississippi","6-3",309,5.21,32,26,105,8.06,4.59
"Darren Sproles","RB","Kansas State","5-6",187,4.47,33,23,105,6.96,3.96
"Scott Starks","CB","Wisconsin","5-8",172,4.37,43,13,137,6.99,3.9
"Nick Steitz","OG","Oregon","6-3",312,5.7,31,NA,99,8.16,4.65
"David Stewart","OT","Mississippi State","6-6",314,5.25,NA,24,NA,NA,NA
"Chauncey Stovall","WR","Florida State","6-1",221,4.62,NA,NA,NA,NA,NA
"Bill Swancutt","DE","Oregon State","6-4",270,5,34,23,113,7.35,4.24
"Lofa Tatupu","ILB","USC","6-0",238,4.83,35,23,113,7.31,4.16
"Claude Terrell","OG","New Mexico","6-2",343,5.42,24.5,27,89,8.17,4.75
"Adam Terry","OT","Syracuse","6-8",330,5.4,28,NA,96,7.89,4.78
"Benard Thomas","DE","Nebraska","6-4",269,4.9,30,27,108,8.24,4.34
"Craphonso Thorpe","WR","Florida State","6-1",188,4.38,NA,NA,NA,NA,NA
"Odell Thurman","ILB","Georgia","6-0",233,4.62,34,23,114,7.47,NA
"Justin Tuck","DE","Notre Dame","6-5",268,4.71,NA,NA,NA,NA,NA
"Zach Tuiasosopo","FB","Washington","6-2",249,5,25.5,19,100,7.57,4.67
"Marviel Underwood","S","San Diego State","5-10",205,4.45,38,19,118,7.12,4.21
"Jimmy Verdon","DE","Arizona State","6-3",280,5.02,29.5,18,105,7.89,4.53
"Kevin Vickerson","DT","Michigan State","6-5",310,5,32.5,NA,103,7.78,4.64
"Cameron Wake","OLB","Penn State","6-3",236,4.65,45.5,20,130,7.12,4.11
"Rian Wallace","OLB","Temple","6-2",241,4.73,35.5,10,112,7.45,3.94
"Andrew Walter","QB","Arizona State","6-6",233,4.86,NA,NA,NA,NA,NA
"DeMarcus Ware","OLB","Troy","6-4",251,4.56,38.5,27,122,6.83,4.07
"Paris Warren","WR","Utah","6-0",219,4.71,31.5,NA,NA,NA,NA
"Fabian Washington","CB","Nebraska","5-10",188,4.29,41.5,18,129,NA,3.91
"Mike Watson","OT","West Virginia","6-4",316,5.46,27.5,NA,100,NA,NA
"Corey Webster","CB","LSU","6-0",199,4.5,NA,9,NA,NA,NA
"Marquis Weeks","S","Virginia","5-10",216,4.56,36.5,23,120,7.46,3.89
"Jonathan Welsh","OLB","Wisconsin","6-3",244,4.61,40.5,19,130,7.83,4.22
"Isaac West","WR","Furman","6-0",187,4.46,37,NA,124,7.21,4.22
"Jason White","QB","Oklahoma","6-2",223,4.9,31,NA,108,7.28,4.19
"Manuel White","FB","UCLA","6-2",244,4.64,NA,NA,NA,NA,NA
"Roddy White","WR","Ala-Birmingham","6-1",207,4.46,NA,NA,NA,NA,NA
"Sam Wilder","OT","Colorado","6-5",298,5.31,26.5,23,102,7.43,4.5
"Ben Wilkerson","C","LSU","6-3",299,5.46,NA,NA,NA,NA,NA
"Aric Williams","CB","Oregon State","5-11",187,4.58,36,8,117,NA,NA
"Cedrick Williams","CB","Kansas State","5-10",168,4.5,35,13,121,7.24,4.22
"Cadillac Williams","RB","Auburn","5-11",217,4.43,35.5,19,118,6.94,4.15
"Darrent Williams","CB","Oklahoma State","5-9",176,4.3,39,16,124,6.97,3.96
"Mike Williams","WR","USC","6-5",229,4.56,36.5,NA,NA,NA,NA
"Troy Williamson","WR","South Carolina","6-1",203,4.32,NA,NA,NA,6.99,NA
"Ray Willis","OT","Florida State","6-6",327,5.18,NA,27,NA,NA,NA
"Stanley Wilson","CB","Stanford","6-0",185,4.36,39.5,14,125,NA,NA
"Jerron Wishom","CB","Louisiana Tech","6-0",193,4.5,38,18,118,6.81,4.07
"Cornelius Wortham","OLB","Alabama","6-1",236,4.71,37,22,110,NA,4.38
"Scott Young","OG","BYU","6-4",312,5.08,35,43,115,7.46,4.37
"Darrell Adams","DE","Villanova","6-5",277,5,27,22,109,7.91,4.76
"Titus Adams","DT","Nebraska","6-3",306,5.07,30.5,15,103,7.49,4.54
"Jahmile Addae","S","West Virginia","5-10",214,4.7,38.5,NA,122,NA,NA
"Joseph Addai","RB","LSU","5-11",214,4.4,38.5,18,125,7.09,4.47
"Victor Adeyanju","DE","Indiana","6-4",274,4.86,32,22,112,7.37,4.41
"Jason Allen","S","Tennessee","6-1",209,4.39,39.5,17,131,6.75,3.81
"Jon Alston","OLB","Stanford","6-1",223,4.5,40,30,132,6.9,4.13
"Sir Henry Anderson","DT","Oregon State","6-4",306,5.19,28.5,27,100,7.69,4.55
"David Anderson","WR","Colorado State","5-10",192,4.57,34,NA,116,6.88,4.2
"James Anderson","OLB","Virginia Tech","6-3",229,4.59,41,NA,121,6.67,4.07
"Mark Anderson","DE","Alabama","6-4",254,4.62,42,20,127,6.95,4.22
"Willie Andrews","S","Baylor","5-9",193,4.43,36.5,7,124,6.99,4.27
"Devin Aromashodu","WR","Auburn","6-2",201,4.35,39,NA,120,7.04,4.16
"Miles Austin","WR","Monmouth (NJ)","6-2",215,4.47,40.5,21,123,7.09,4.14
"Jason Avant","WR","Michigan","6-0",212,4.62,37,20,118,NA,NA
"Brett Basanez","QB","Northwestern","6-1",220,4.76,34,NA,114,6.75,4.22
"Hank Baskett","WR","New Mexico","6-3",224,4.5,35,NA,119,6.79,4.17
"Danny Baugher","P","Arizona","5-10",194,NA,NA,NA,NA,NA,NA
"Mike Bell","RB","Arizona","6-0",221,4.6,31.5,19,112,7.16,4.21
"Charles Bennett","DE","Clemson","6-4",258,4.7,33.5,19,115,7.48,4.52
"Matt Bernstein","FB","Wisconsin","6-0",260,4.91,29.5,22,110,7.46,4.5
"Antoine Bethea","S","Howard","5-11",203,4.39,36.5,19,127,6.99,4.11
"Troy Bienemann","TE","Washington State","6-5",256,4.8,NA,NA,NA,NA,NA
"Damarius Bilbo","WR","Georgia Tech","6-2",214,4.7,36.5,19,115,6.9,4.18
"Darnell Bing","S","USC","6-2",227,4.53,34,17,120,7.25,4.07
"Will Blackmon","CB","Boston Col.","6-0",198,4.47,41,NA,133,6.67,4.23
"Jeremy Bloom","WR","Colorado","5-9",173,4.49,NA,NA,NA,NA,NA
"Greg Blue","S","Georgia","6-2",216,4.57,37.5,16,120,NA,NA
"Kevin Boothe","OT","Cornell","6-5",316,5.41,31.5,23,98,8.36,5.07
"Jovon Bouknight","WR","Wyoming","6-1",195,4.71,34,NA,120,6.93,4.03
"McKinley Boykin","DT","Mississippi","6-1",289,5.01,30.5,30,109,NA,4.75
"Trent Bray","ILB","Oregon State","6-1",231,4.9,32,18,109,7.15,4.41
"Darrell Brooks","S","Arizona","6-0",198,4.61,36.5,7,125,6.97,4.36
"Manaia Brown","DT","BYU","6-3",301,5.1,34.5,21,111,7.63,4.47
"Copeland Bryan","DE","Arizona","6-4",253,4.9,33,16,117,7.11,4.3
"Daniel Bullocks","S","Nebraska","6-0",212,4.38,38,18,124,6.91,4.16
"Brodrick Bunkley","DT","Florida State","6-3",306,5.01,32.5,44,113,NA,NA
"Reggie Bush","RB","USC","5-11",201,4.37,NA,NA,NA,NA,NA
"Brad Butler","OT","Virginia","6-7",310,5.29,NA,NA,NA,NA,NA
"Rashad Butler","OT","Miami (FL)","6-5",293,5.3,28,16,106,7.9,4.55
"Dominique Byrd","TE","USC","6-3",255,4.79,NA,NA,NA,NA,NA
"Brian Calhoun","RB","Wisconsin","5-9",201,4.57,31.5,18,124,7.05,4.2
"Bobby Carpenter","OLB","Ohio State","6-2",256,4.65,NA,NA,NA,NA,NA
"Jason Carter","WR","Texas A&M","6-0",211,4.6,33,NA,116,6.89,4.21
"Chris Chester","C","Oklahoma","6-3",303,4.83,31.5,27,106,7.31,4.5
"Jeromey Clary","OT","Kansas State","6-6",309,5.28,26,24,102,7.8,4.63
"Kellen Clemens","QB","Oregon","6-2",224,4.89,NA,NA,NA,NA,NA
"Barry Cofield","DT","Northwestern","6-4",304,4.95,34,35,105,7.43,4.35
"Daryn Colledge","OT","Boise State","6-4",299,5.05,32.5,21,110,7.43,4.58
"Marques Colston","WR","Hofstra","6-5",224,4.5,37,16,123,6.94,4.43
"Ryan Cook","OT","New Mexico","6-7",328,5.47,26.5,28,97,7.93,4.66
"Antonio Cromartie","CB","Florida State","6-2",208,4.47,38,18,132,NA,NA
"Brodie Croyle","QB","Alabama","6-2",205,4.88,30.5,NA,104,7.34,4.25
"Jay Cutler","QB","Vanderbilt","6-3",226,4.77,NA,23,NA,7.1,4.26
"Owen Daniels","TE","Wisconsin","6-3",253,4.65,34.5,23,114,6.87,4.1
"P.J. Daniels","RB","Georgia Tech","5-10",214,4.64,33,21,116,7.13,4.4
"Vernon Davis","TE","Maryland","6-3",254,4.38,42,33,128,7,4.17
"Charles Davis","TE","Purdue","6-5",263,4.87,31.5,27,108,7.53,4.37
"Tim Day","TE","Oregon","6-3",256,4.74,35,24,109,7.03,4.2
"Mike Degory","C","Florida","6-5",305,5.42,26,24,98,8.03,4.67
"Marcus Demps","S","San Diego State","6-0",198,4.7,31,17,117,6.91,4.09
"Chris Denney","WR","Nebraska-Omaha","6-3",224,4.65,33,13,110,7.02,4.33
"Will Derting","ILB","Washington State","6-0",247,4.74,NA,NA,NA,NA,NA
"Tim Dobbins","ILB","Iowa State","6-1",246,4.59,35.5,23,110,7.25,4.39
"Reed Doughty","S","Northern Colorado","6-0",209,4.65,37,15,121,6.66,4.17
"Kader Drame","DT","Syracuse","6-5",290,5.25,30.5,17,108,8.12,NA
"Elvis Dumervil","DE","Louisville","5-11",257,4.75,NA,30,NA,NA,NA
"Dusty Dvoracek","DT","Oklahoma","6-3",306,5.01,34,31,110,7.62,4.35
"Ray Edwards","DE","Purdue","6-5",273,4.81,39,30,114,7.71,4.57
"Keith Ellison","OLB","Oregon State","6-1",235,4.76,32.5,24,115,7.22,4.16
"Greg Eslinger","C","Minnesota","6-3",292,5.13,30,28,101,7.59,4.68
"Bruce Eugene","QB","Grambling State","6-0",260,5.12,27.5,NA,94,7.97,4.76
"Jahri Evans","OT","Texas A&M","6-4",316,5.25,27,20,95,7.97,4.8
"Anthony Fasano","TE","Notre Dame","6-4",259,4.72,33.5,19,112,6.94,4.34
"Daniel Fells","TE","California-Davis","6-3",259,4.95,29.5,19,108,7.27,4.46
"D'Brickashaw Ferguson","OT","Virginia","6-6",312,5.08,NA,NA,NA,NA,NA
"Omar Gaither","OLB","Tennessee","6-1",234,4.78,37,23,116,7.31,4.28
"Quinton Ganther","RB","Utah","5-9",218,4.5,35,29,119,7.19,NA
"Ryan Gilbert","RB","Houston","5-10",228,4.6,NA,NA,NA,NA,NA
"Chris Gocong","DE","Cal Poly","6-2",263,4.7,38.5,28,123,7.05,4.08
"Kedric Golston","DT","Georgia","6-4",300,4.88,33,31,111,7.6,4.45
"Charles Gordon","CB","Kansas","5-10",183,4.6,35.5,12,115,6.95,4.2
"Bruce Gradkowski","QB","Toledo","6-1",217,4.59,34,NA,107,7.12,4.16
"Marcus Green","DT","Ohio State","6-1",295,5.14,31,33,108,7.62,4.86
"Skyler Green","WR","LSU","5-9",192,4.53,34,NA,118,NA,NA
"Chad Greenway","OLB","Iowa","6-2",242,4.76,33.5,16,117,7,4.22
"Cedric Griffin","S","Texas","6-0",199,4.51,35.5,17,125,6.84,4.1
"Darrell Hackney","QB","Ala-Birmingham","6-0",239,4.82,33,NA,110,7.62,4.69
"Derek Hagan","WR","Arizona State","6-2",208,4.45,36,NA,124,NA,4.07
"Marques Hagans","RB","Virginia","5-9",202,4.67,35,NA,114,7.03,4.38
"Tamba Hali","DE","Penn State","6-3",275,4.87,NA,NA,NA,NA,NA
"Andre Hall","RB","South Florida","5-8",208,4.4,33,18,113,7.38,NA
"Chris Hannon","WR","Tennessee","6-3",205,4.48,34.5,NA,122,NA,NA
"Parys Haralson","DE","Tennessee","6-1",253,4.8,32,24,115,7.37,4.26
"Roman Harper","S","Alabama","6-0",198,4.5,NA,19,NA,NA,NA
"Chris Harrell","S","Penn State","6-0",209,4.7,40.5,15,119,7.02,4.12
"Gilbert Harris","FB","Arizona","6-2",235,4.73,36,20,117,7,4.38
"Orien Harris","DT","Miami (FL)","6-3",301,5.27,NA,25,NA,NA,NA
"Jerome Harrison","RB","Washington State","5-9",201,4.47,34.5,19,124,6.77,4.07
"Mike Hass","WR","Oregon State","6-1",208,4.59,32,NA,116,6.97,4.14
"Jason Hatcher","DE","Grambling State","6-6",284,4.82,35.5,28,113,7.67,4.49
"Spencer Havner","ILB","UCLA","6-3",242,4.69,39,NA,116,6.81,4.07
"A.J. Hawk","OLB","Ohio State","6-1",248,4.59,40,24,115,6.82,3.96
"Chris Hawkins","CB","Marshall","5-10",183,4.51,37,16,116,NA,4.18
"Taurean Henderson","RB","Texas Tech","5-9",204,4.62,32.5,NA,112,7.01,4.4
"Eric Henderson","DE","Georgia Tech","6-2",270,4.75,NA,30,NA,NA,NA
"Matt Henshaw","TE","Florida State","6-4",248,4.73,29,16,111,7.44,4.44
"Jarvis Herring","S","Florida","5-11",207,4.85,36.5,15,116,7.34,4.23
"Devin Hester","WR","Miami (FL)","5-11",190,4.41,38,16,124,NA,NA
"Tye Hill","CB","Clemson","5-10",185,4.34,41,NA,129,6.63,4.01
"Ed Hinkel","WR","Iowa","6-0",190,4.54,34,NA,116,6.97,4.1
"Abdul Hodge","ILB","Iowa","6-0",236,4.76,31,NA,108,7.09,4.3
"Santonio Holmes","WR","Ohio State","5-11",188,4.35,NA,NA,NA,NA,NA
"Reuben Houston","CB","Georgia Tech","6-0",192,4.62,41.5,21,127,NA,4.42
"Thomas Howard","OLB","Texas-El Paso","6-3",239,4.42,39,21,124,6.96,4.28
"Oliver Hoyte","ILB","North Carolina State","6-3",245,4.93,32,19,112,7.47,4.3
"Marcus Hudson","S","North Carolina State","6-1",194,4.55,NA,11,NA,NA,NA
"Michael Huff","S","Texas","6-0",204,4.34,40.5,21,125,NA,NA
"Cedric Humes","RB","Virginia Tech","6-1",227,4.62,30.5,18,106,7.07,4.22
